Scheduler;Workload;NPUarray;Scheduler_runtime(ns);Ttot(s);Etot(mJ);Etot_idle(mJ)
Round-Robin;Workload_ResNet;4x512;1328391;79.79566515514601;319340.665756135;0.0
Round-Robin;Workload_Small;4x512;453201;35.64546871185303;259952.56679751372;244664.05691026326
Round-Robin;Workload_MobileNet;4x512;1356796;2.2486153733275014;8311.233278746351;0.0
Round-Robin;Workload_DenseNet;4x512;1334794;108.92155481528488;433129.66642015835;0.0
Round-Robin;Workload_Large;3x4096;4138535;61.28019537514273;14932.55543234574;27674.123164352925
Round-Robin;Workload_Medium;3x4096;1170717;17.664433683096995;15474.312461380712;29067.884721384857
Round-Robin;Workload_VGG;3x4096;1152197;5.019497730931949;15474.312461380712;6568.72732752753
Round-Robin;Workload_ResNet;3x4096;1149804;23.745327238444997;89467.99255573304;31074.14093865879
Round-Robin;Workload_Small;3x4096;397998;8.15833044052124;65156.6640741015;43137.92063874741
Round-Robin;Workload_MobileNet;3x4096;1193223;2.956975559365084;7015.789025504968;3869.623457330685
Round-Robin;Workload_DenseNet;3x4096;1174405;36.745631253350304;128138.8246026854;48086.889390089884
Greedy;Workload_Large;4x2304;7219905434;105.52635576886937;67975.63645038282;605279.8613499148
Greedy;Workload_Medium;4x2304;621028328;22.97397360753334;122527.49607188108;89748.63777670765
Greedy;Workload_VGG;4x2304;621805268;4.476839819184178;23889.01583320084;0.0
Greedy;Workload_ResNet;4x2304;621973892;23.463495425716093;145099.61162691272;0.0
Greedy;Workload_Small;4x2304;83821385;10.776814583785429;8522.359826221005;93762.04675066599
Greedy;Workload_MobileNet;4x2304;622998914;2.071461495788357;8874.862887144713;0.0
Greedy;Workload_DenseNet;4x2304;621331577;36.95420195969418;212943.3579036306;0.0
Greedy;Workload_Large;1x512_1x1024_1x2304_1x4096;7094982494;266.4403722887972;92641.42000336887;2296304.3471517805
Greedy;Workload_Medium;1x512_1x1024_1x2304_1x4096;622972154;53.35704249488095;61119.692289842365;422940.61099990236
Greedy;Workload_VGG;1x512_1x1024_1x2304_1x4096;624822271;5.539448546506374;27379.686959041694;7363.792320024006
Greedy;Workload_ResNet;1x512_1x1024_1x2304_1x4096;623976043;31.350074549259194;224192.33572656376;52855.25888091992
Greedy;Workload_Small;1x512_1x1024_1x2304_1x4096;84526592;10.924513293022137;51728.729914014264;105220.38249229186
Greedy;Workload_MobileNet;1x512_1x1024_1x2304_1x4096;624530358;2.2486153733275014;8865.181332282877;1658.7707565191367
Greedy;Workload_DenseNet;1x512_1x1024_1x2304_1x4096;619760434;48.51389360037979;315245.1578804513;97227.1436865041
Greedy;Workload_Large;4x1024_1x2304;9206132656;248.2333960800594;99530.45219298694;2777834.245576117
Greedy;Workload_Medium;4x1024_1x2304;809047275;40.43826096238609;153913.2961108383;338350.2600031266
Greedy;Workload_VGG;4x1024_1x2304;807933647;5.075065697276529;36401.05499295113;2183.507514928033
Greedy;Workload_ResNet;4x1024_1x2304;808594949;33.567213712901406;249507.23249926136;51716.134158762026
Greedy;Workload_Small;4x1024_1x2304;113346605;15.71551895259756;63186.33736736993;200259.61369592778
Greedy;Workload_MobileNet;4x1024_1x2304;807415181;2.071461495788357;11153.86759313061;4827.475904762657
Greedy;Workload_DenseNet;4x1024_1x2304;808715114;50.49764453194468;361816.81052136014;70319.90217795379
Greedy;Workload_Large;2x512_1x1024_1x2304_1x4096;9001548528;392.84288076344876;138432.61781457858;5032142.557638028
Greedy;Workload_Medium;2x512_1x1024_1x2304_1x4096;812105909;98.36393777542493;114448.88203676563;1289771.9079518584
Greedy;Workload_VGG;2x512_1x1024_1x2304_1x4096;811560164;5.019497730931949;36357.26964449005;11241.056080915383
Greedy;Workload_ResNet;2x512_1x1024_1x2304_1x4096;813734720;29.032717470697325;328826.4553486043;44677.844099116846
