Scheduler;Workload;NPUarray;Scheduler_runtime(ns);Ttot(s);Etot(mJ);Etot_idle(mJ)
Round-Robin;Workload_Low-energy skew;3x1024_2x4096;1013196;4.712141844931757;43725.860316840066;48655.57048096726
Round-Robin;Workload_Mid-energy skew;2x2304_2x4096;908920;8.22725004593976;22995.426374992145;72439.71122900388
Round-Robin;Workload_High-energy skew;2x2304_2x4096;974713;16.46977514673264;197002.49519372566;47000.76527175018
Round-Robin;Workload_Uniform;2x2304_2x4096;1050737;7.700285799456472;22731.26015846656;609.5728729410217
Round-Robin;Workload_Low-energy skew;2x2304_2x4096;895771;7.006313990744372;47816.2560697896;66192.89525753574
Round-Robin;Workload_Mid-energy skew;1x512_3x4096;917547;5.817010245560928;24768.076544425858;35663.435732125006
Round-Robin;Workload_High-energy skew;1x512_3x4096;1006947;49.08808470815723;244395.8681473675;463741.19554569334
Round-Robin;Workload_Uniform;1x512_3x4096;1104571;30.344706498106326;24423.884369336563;295125.63490917964
Round-Robin;Workload_Low-energy skew;1x512_3x4096;905491;5.106756989331444;40587.76750177214;42156.06091900628
Round-Robin;Workload_Mid-energy skew;4x1024;886318;14.572448369151488;30807.766480447295;108587.9922083407
Round-Robin;Workload_High-energy skew;4x1024;965045;29.713307980707533;309119.4247729278;7000.688461973496
Round-Robin;Workload_Uniform;4x1024;1044714;19.093098208909765;30428.80103465092;37332.77461616344
Round-Robin;Workload_Low-energy skew;4x1024;919369;12.326794169305858;65255.396803367315;105244.1498016809
Round-Robin;Workload_Mid-energy skew;4x512;938863;24.512581318222733;34486.556342594005;189721.0732245869
Round-Robin;Workload_High-energy skew;4x512;986754;50.025599963336404;442439.05473877344;7900.334594063088
Round-Robin;Workload_Uniform;4x512;1025150;30.344706498106326;34062.338208941;46768.92457383892
Round-Robin;Workload_Low-energy skew;4x512;900023;21.39294155982231;93885.73431725215;185278.2144771193
Round-Robin;Workload_Mid-energy skew;3x4096;763660;5.817010245560928;15829.04995214364;24396.15594741547
Round-Robin;Workload_High-energy skew;3x4096;873208;17.34340085562981;130420.06718786448;35127.00788157417
Round-Robin;Workload_Uniform;3x4096;906583;11.612590939684813;15670.550222228288;36302.13696754962
Round-Robin;Workload_Low-energy skew;3x4096;770577;5.106756989331444;38286.76114902022;25800.301744710236
Greedy;Workload_Mid-energy skew;4x2304;201531504;14.829719790493572;5774.560470519923;162384.17189545702
Greedy;Workload_High-energy skew;4x2304;235451978;60.937577011810625;51351.251429743956;667261.2915263429
Greedy;Workload_Uniform;4x2304;267352761;35.384423574136676;5749.215151573733;387456.43216857
Greedy;Workload_Low-energy skew;4x2304;202121307;10.759647638531618;5774.560470519923;117817.22759117052
Greedy;Workload_Mid-energy skew;1x512_1x1024_1x2304_1x4096;243809042;36.065651421985095;8110.649061021019;397924.2333873855
Greedy;Workload_High-energy skew;1x512_1x1024_1x2304_1x4096;286499388;186.62748018101277;104449.13906208046;2059122.5737511283
Greedy;Workload_Uniform;1x512_1x1024_1x2304_1x4096;297660742;101.08049160015334;8075.050336518671;1115254.419219837
Greedy;Workload_Low-energy skew;1x512_1x1024_1x2304_1x4096;200309961;25.666123247852394;8110.649061021019;283182.8073179351
Greedy;Workload_Mid-energy skew;4x1024_1x2304;249413009;24.088775444828048;7245.460514948009;326951.7435258633
Greedy;Workload_High-energy skew;4x1024_1x2304;290091118;110.25805289338955;72975.6052027573;1496508.7251456962
Greedy;Workload_Uniform;4x1024_1x2304;334781828;61.71839320277701;7213.6592187972665;837690.4135903359
Greedy;Workload_Low-energy skew;4x1024_1x2304;248944332;16.602736693793354;7245.460514948009;225345.35729179374
Greedy;Workload_Mid-energy skew;2x512_1x1024_1x2304_1x4096;249316863;36.065651421985095;8110.649061021019;512018.1367902777
Greedy;Workload_High-energy skew;2x512_1x1024_1x2304_1x4096;290064645;186.62748018101277;104449.13906208046;2649519.720525461
Greedy;Workload_Uniform;2x512_1x1024_1x2304_1x4096;332685485;101.08049160015334;8075.050336518671;1435023.1573359775
Greedy;Workload_Low-energy skew;2x512_1x1024_1x2304_1x4096;250162998;25.666123247852394;8110.649061021019;364377.7413093982
Greedy;Workload_Mid-energy skew;3x1024_2x4096;249981730;24.088775444828048;7245.460514948009;355712.120509494
Greedy;Workload_High-energy skew;3x1024_2x4096;297214652;110.25805289338955;72975.6052027573;1628149.4212017432
Greedy;Workload_Uniform;3x1024_2x4096;336313197;61.71839320277701;7213.6592187972665;911378.0221365364
Greedy;Workload_Low-energy skew;3x1024_2x4096;250247004;16.602736693793354;7245.460514948009;245167.907730985
Greedy;Workload_Mid-energy skew;2x2304_2x4096;199609370;14.829719790493572;5774.560470519923;175012.64372858207
Greedy;Workload_High-energy skew;2x2304_2x4096;233293185;60.937577011810625;51351.251429743956;719153.6054570383
Greedy;Workload_Uniform;2x2304_2x4096;270750399;35.384423574136676;5749.215151573733;417588.57240791555
Greedy;Workload_Low-energy skew;2x2304_2x4096;200841481;10.759647638531618;5774.560470519923;126979.76802060264
Greedy;Workload_Mid-energy skew;1x512_3x4096;201710066;10.964301938869921;5050.60794447147;124061.23467050446
Greedy;Workload_High-energy skew;1x512_3x4096;233625895;41.71226121601318;41723.36141736994;471974.8376329886
Greedy;Workload_Uniform;1x512_3x4096;268727496;24.962509602791;5028.440150077715;282451.1564040134
Greedy;Workload_Low-energy skew;1x512_3x4096;201900801;8.596625116878366;5050.60794447147;97270.93726035455
Greedy;Workload_Mid-energy skew;4x1024;200248112;24.088775444828048;7245.460514948009;239028.39528000873
Greedy;Workload_High-energy skew;4x1024;234960825;110.25805289338955;72975.6052027573;1094069.9542891753
Greedy;Workload_Uniform;4x1024;267009477;61.71839320277701;7213.6592187972665;612420.0260950914
Greedy;Workload_Low-energy skew;4x1024;200098627;16.602736693793354;7245.460514948009;164745.83850321878
Greedy;Workload_Mid-energy skew;4x512;200247558;36.065651421985095;8110.649061021019;342281.71020867664
Greedy;Workload_High-energy skew;4x512;232497361;186.62748018101277;104449.13906208046;1771191.440322998
Greedy;Workload_Uniform;4x512;270754221;101.08049160015334;8075.050336518671;959306.2143484207
Greedy;Workload_Low-energy skew;4x512;200510166;25.666123247852394;8110.649061021019;243584.8019743893
Greedy;Workload_Mid-energy skew;3x4096;150011192;10.964301938869921;5050.60794447147;89375.6000854876
Greedy;Workload_High-energy skew;3x4096;174539557;41.71226121601318;41723.36141736994;340017.8504650006
Random;Workload_Mid-energy skew;4x2304;177656;9.223503720817158;27580.25913009351;76156.11571683025
Random;Workload_High-energy skew;4x2304;141102;20.114176308590224;200840.4047377483;57908.85165799771
Random;Workload_Uniform;4x2304;144231;23.315184996316273;22563.20117987026;205891.5398717657
Random;Workload_Low-energy skew;4x2304;137875;7.67862057685852;55653.56186836175;64969.198562514284
Random;Workload_Mid-energy skew;1x512_1x1024_1x2304_1x4096;116791;14.4279625415802;89629.60657486794;114531.14817342168
Random;Workload_High-energy skew;1x512_1x1024_1x2304_1x4096;131896;29.651101020558123;163945.77299520775;189090.35948019568
Random;Workload_Uniform;1x512_1x1024_1x2304_1x4096;121294;28.59048088078472;144852.33050381855;226380.29999252388
Random;Workload_Low-energy skew;1x512_1x1024_1x2304_1x4096;122274;6.642012470183456;48450.17177534774;50213.54775835636
Random;Workload_Mid-energy skew;4x1024_1x2304;117504;14.4279625415802;91252.8801604448;149182.56127725175
Random;Workload_High-energy skew;4x1024_1x2304;132632;28.719591410718728;362984.2467256539;133492.76484062604
Random;Workload_Uniform;4x1024_1x2304;128429;20.114176308590224;32053.22092481965;167002.80878771815
Random;Workload_Low-energy skew;4x1024_1x2304;115758;14.4279625415802;78961.71879366165;176553.40119858485
Random;Workload_Mid-energy skew;2x512_1x1024_1x2304_1x4096;116354;26.244902916183293;32148.00367689038;342873.85551425256
Random;Workload_High-energy skew;2x512_1x1024_1x2304_1x4096;117058;41.512018575658274;295917.3617257162;328036.27740574186
Random;Workload_Uniform;2x512_1x1024_1x2304_1x4096;117608;30.344706498106326;24515.15076404215;297006.03678575647
