Sample;Timestamp;PS mW;PL mW;MGT mW;Total mW
0;1637345362.159212052;1775.743042;1558.514038;212.188995;3546.446045
1;1637345362.179276917;1643.125000;1559.987061;211.031006;3414.143066
2;1637345362.199337101;1594.081055;1559.300049;212.143997;3365.525146
3;1637345362.219397185;1610.474976;1557.291016;212.242004;3380.007812
4;1637345362.239456880;1622.124023;1559.167969;212.242004;3393.533936
5;1637345362.259517364;1583.586060;1555.338013;212.220001;3351.144043
6;1637345362.279577718;1599.151001;1559.987061;212.210999;3371.349121
7;1637345362.299637483;1613.769043;1559.058960;212.149002;3384.977051
8;1637345362.319697307;1638.042969;1556.625977;212.179993;3406.848877
9;1637345362.339757311;1599.712036;1559.139038;211.251007;3370.102051
10;1637345362.359817056;1609.131958;1558.260010;212.242004;3379.633789
11;1637345362.379877270;1630.807007;1554.488037;212.242004;3397.537109
12;1637345362.399936824;1590.989014;1556.829956;212.242004;3360.061035
13;1637345362.419996999;1596.704956;1555.319946;212.179993;3364.205078
14;1637345362.440056583;1612.251953;1556.938965;212.149002;3381.339844
15;1637345362.460116887;1634.161011;1555.578979;212.242004;3401.981934
16;1637345362.480176942;1606.941040;1554.380005;210.953003;3372.273926
17;1637345362.500237336;1623.008057;1554.428955;211.046005;3388.482910
18;1637345362.520296660;1627.791992;1553.744995;212.177994;3393.714844
19;1637345362.540356935;1588.978027;1559.921997;215.554993;3364.455078
20;1637345362.560416329;1605.912964;1554.411011;212.179993;3372.503906
21;1637345362.580476283;1614.557983;1555.715942;211.391006;3381.665039
22;1637345362.600536098;1643.421021;1557.029053;212.179993;3412.629883
23;1637345362.620596062;1600.510010;1554.818970;212.149002;3367.478027
24;1637345362.640655786;1607.462036;1559.073975;215.473999;3382.010010
25;1637345362.660715591;1618.384033;1558.927979;212.210999;3389.522949
26;1637345362.680775865;1589.104980;1554.849976;212.179993;3356.135010
27;1637345362.700835999;1612.183960;1553.581055;210.126007;3375.891113
28;1637345362.720895234;1634.692017;1552.452026;208.835007;3395.979004
29;1637345362.740955208;1597.526001;1555.697998;212.179993;3365.403809
30;1637345362.761015262;1611.249023;1555.777954;212.242004;3379.269043
31;1637345362.781075227;1627.108032;1552.582031;212.210999;3391.900879
32;1637345362.801135281;1636.897949;1552.337036;212.210999;3401.446045
33;1637345362.821194895;1599.347046;1557.543945;215.531006;3372.421875
34;1637345362.841254230;1621.536987;1557.009033;212.242004;3390.788086
35;1637345362.861314204;1635.037964;1553.146973;212.259003;3400.443848
36;1637345362.881374068;1581.927002;1552.734009;212.242004;3346.903076
37;1637345362.901434023;1608.180054;1554.868042;211.386002;3374.434082
38;1637345362.921494467;1619.048950;1554.837036;212.210999;3386.097168
39;1637345362.941553741;1626.853027;1552.734009;212.197006;3391.784180
40;1637345362.961613836;1587.942993;1554.438965;213.406998;3355.789062
41;1637345362.981674570;1620.958008;1559.077026;211.229004;3391.264160
42;1637345363.001734694;1621.348999;1553.682983;212.240005;3387.271973
43;1637345363.021795159;1591.890991;1553.644043;212.218002;3357.752930
44;1637345363.041854833;1592.901001;1554.469971;212.179993;3359.550781
45;1637345363.061914377;1619.067993;1554.896973;212.210999;3386.175781
46;1637345363.081974512;1632.375000;1554.020020;211.046005;3397.440918
47;1637345363.102035096;1592.331055;1553.582031;214.052002;3359.965088
48;1637345363.122072488;1608.843018;1551.897949;211.014999;3371.755859
49;1637345363.142132843;1637.937988;1562.472046;215.483994;3415.894043
50;1637345363.162198337;1678.968994;1552.715942;210.147995;3441.833008
51;1637345363.182264882;1799.270996;1557.827026;214.341995;3571.439941
52;1637345363.202328717;1827.465942;1556.952026;212.223007;3596.641113
