Sample;Timestamp;PS mW;PL mW;MGT mW;Total mW
0;1637345505.705868812;1814.712036;2071.889893;215.438995;4102.041016
1;1637345505.725932187;1598.348999;2066.900879;212.210999;3877.460938
2;1637345505.745992391;1606.676025;2066.278076;212.259003;3885.213135
3;1637345505.766060586;1632.222046;2070.552002;212.179993;3914.954102
4;1637345505.786120531;1584.979004;2069.291992;212.179993;3866.450928
5;1637345505.806180855;1607.869019;2067.779053;211.343994;3886.992188
6;1637345505.826241390;1626.905029;2065.238037;211.281998;3903.425049
7;1637345505.846301384;1586.718018;2068.728027;212.197006;3867.643066
8;1637345505.866361648;1602.545044;2068.594971;212.149002;3883.289062
9;1637345505.886421033;1611.162964;2069.669922;210.983994;3891.816895
10;1637345505.906481197;1635.198975;2072.916016;215.505997;3923.621094
11;1637345505.926541551;1596.464966;2069.638916;212.149002;3878.252930
12;1637345505.946600806;1613.979004;2070.518066;212.179993;3896.677002
13;1637345505.966660680;1636.001953;2073.055908;215.554993;3924.612793
14;1637345505.986720434;1598.860962;2068.770996;212.194000;3879.826172
15;1637345506.006780308;1608.525024;2069.604004;212.259003;3890.388184
16;1637345506.026840803;1617.084961;2069.572998;211.313004;3897.970947
17;1637345506.046901037;1631.405029;2065.207031;211.014999;3907.626953
18;1637345506.066961082;1598.045044;2070.468994;211.313004;3879.827148
19;1637345506.087020456;1615.525024;2068.543945;212.210999;3896.279785
20;1637345506.107080110;1637.895996;2071.435059;212.149002;3921.479980
21;1637345506.127139984;1587.866943;2066.865967;212.197006;3866.929932
22;1637345506.147199819;1608.979004;2068.770996;212.149002;3889.898926
23;1637345506.167259793;1610.286011;2069.291992;212.242004;3891.819824
24;1637345506.187319707;1636.738037;2068.822021;212.242004;3917.802002
25;1637345506.207379242;1592.311035;2071.922119;215.457001;3879.690186
26;1637345506.227439096;1613.378052;2066.931885;212.242004;3892.551758
27;1637345506.247499280;1628.817993;2068.378906;211.304001;3908.500977
28;1637345506.267559455;1596.510986;2070.305908;212.192001;3879.008789
29;1637345506.287619249;1612.512939;2068.607910;212.242004;3893.362793
30;1637345506.307679063;1611.598999;2068.725098;213.341003;3893.665039
31;1637345506.327738958;1636.692017;2072.085938;215.444000;3924.222168
32;1637345506.347799312;1609.701050;2070.420898;212.188995;3892.311035
33;1637345506.367859396;1625.098999;2072.085938;215.483994;3912.668945
34;1637345506.387919751;1634.699951;2066.211914;212.175003;3913.086914
35;1637345506.407979285;1594.589966;2073.813965;215.554993;3883.958984
36;1637345506.428038999;1594.173950;2071.334961;212.188995;3877.697754
