Sample;Timestamp;PS mW;PL mW;MGT mW;Total mW
0;1753459396.240444127;1778.685059;2444.736084;207.123001;4430.543945
1;1753459396.264508501;1577.567017;2446.563965;209.244003;4233.375000
2;1753459396.288569335;1584.192017;2444.768066;211.229004;4240.188965
3;1753459396.312629709;1575.536011;2448.896973;208.322998;4232.755859
4;1753459396.336689773;1573.989990;2449.747070;211.246002;4234.983398
5;1753459396.360749657;1571.083984;2449.365967;213.710007;4234.160156
6;1753459396.384808781;1592.687012;2447.271973;210.384003;4250.342773
7;1753459396.408868175;1565.819946;2448.896973;211.229004;4225.945801
8;1753459396.432928579;1567.671021;2448.077881;210.432007;4226.180664
9;1753459396.456988573;1614.348022;2451.454102;209.313004;4275.115234
10;1753459396.481048667;1600.530029;2447.132080;211.298996;4258.960938
11;1753459396.505108671;1586.574951;2450.593018;210.330994;4247.499023
12;1753459396.529168845;1580.583008;2450.523926;210.479996;4241.586914
13;1753459396.553228529;1612.953003;2448.862061;210.492996;4272.308105
14;1753459396.577288763;1586.421021;2449.590088;211.339005;4247.350098
15;1753459396.601349037;1571.891968;2448.645996;211.298996;4231.836914
16;1753459396.625408251;1588.645020;2450.555908;211.281998;4250.482910
17;1753459396.649468255;1592.677002;2449.135986;210.085999;4251.898926
18;1753459396.673528319;1586.370972;2450.605957;210.423996;4247.400879
19;1753459396.697587473;1580.202026;2451.655029;210.085999;4241.942871
20;1753459396.721632726;1571.458008;2453.870117;213.735001;4239.063477
21;1753459396.745693900;1589.604980;2448.922119;209.218994;4247.746094
22;1753459396.769754254;1595.895996;2449.104980;209.580994;4254.582031
23;1753459396.793813298;1567.520996;2452.345947;212.891006;4232.757812
24;1753459396.817875422;1590.635986;2452.320068;210.063995;4253.020020
25;1753459396.841937076;1593.237061;2452.320068;208.337997;4253.895020
26;1753459396.865998420;1572.392944;2452.954102;212.891006;4238.238281
27;1753459396.890058424;1570.267944;2453.919922;212.858994;4237.046875
28;1753459396.914120249;1577.385010;2453.404053;214.617996;4245.407227
29;1753459396.938181333;1591.237061;2455.597900;214.639999;4261.474609
30;1753459396.962254018;1586.756958;2444.753906;206.264008;4237.774902
31;1753459396.986321443;1772.691040;2448.289062;209.511993;4430.492188
32;1753459397.010382277;1581.270996;2449.068115;209.296997;4239.636230
33;1753459397.034442481;1592.258057;2448.927979;210.432007;4251.618164
34;1753459397.058502925;1593.109009;2449.982910;210.432007;4253.523926
35;1753459397.082563469;1578.890991;2449.915039;208.399002;4237.205078
36;1753459397.106623913;1573.442993;2453.919922;214.639999;4242.002930
37;1753459397.130684137;1602.291016;2455.433105;213.421997;4271.145996
38;1753459397.154744481;1589.256958;2450.624023;211.281998;4251.163086
39;1753459397.178804945;1568.296021;2449.117920;211.259995;4228.673828
40;1753459397.202864729;1571.839966;2450.555908;211.360992;4233.756836
41;1753459397.226926243;1598.906982;2448.827881;210.509995;4258.245117
42;1753459397.250992268;1726.522949;2450.593018;210.432007;4387.547852
43;1753459397.275057592;1778.656982;2452.320068;211.360992;4442.337891
44;1753459397.299122457;1785.714966;2450.506104;209.296997;4445.518066
45;1753459397.323193392;1798.730957;2450.593018;210.401001;4459.725098
46;1753459397.347262847;1773.397949;2448.714111;210.352997;4432.464844
47;1753459397.371336532;1774.119995;2448.270996;210.445999;4432.836914
48;1753459397.395408598;1781.376953;2458.159912;215.871994;4455.409180
49;1753459397.419481223;1824.531006;2455.120117;213.460007;4493.111328
50;1753459397.443544527;1760.120972;2451.454102;210.445999;4422.020996
51;1753459397.467613122;1831.353027;2455.583984;213.643005;4500.580078
52;1753459397.491701349;1826.061035;2451.372070;209.250000;4486.683105
53;1753459397.515768894;1828.561035;4361.123047;209.542007;6399.226074
54;1753459397.539831628;1793.022949;4110.359863;209.296997;6112.679688
55;1753459397.563892422;1790.500000;4213.620117;209.529007;6213.648926
56;1753459397.587953926;1788.366943;4288.992188;211.281998;6288.641602
57;1753459397.612015090;1796.932983;4065.023926;211.673004;6073.629883
