Sample;Timestamp;PS mW;PL mW;MGT mW;Total mW
0;1753459290.107984888;1753.180054;5205.009766;214.037994;7172.228027
1;1753459290.132061284;1596.489014;5204.128906;213.024994;7013.642578
2;1753459290.156121178;1591.072998;5212.286133;213.197006;7016.555664
3;1753459290.180180962;1623.409058;5212.617188;213.156998;7049.183594
4;1753459290.204240886;1594.088989;5212.386230;213.179993;7019.655273
5;1753459290.228300640;1609.159058;5207.952148;213.117996;7030.229492
6;1753459290.252361604;1589.244019;5208.924805;213.171005;7011.339844
7;1753459290.276421508;1614.375977;5210.589844;213.175003;7038.140625
8;1753459290.300483132;1603.113037;5206.545898;209.860992;7019.519531
9;1753459290.324543656;1598.604980;5206.350098;213.056000;7018.011230
10;1753459290.348604670;1609.113037;5202.749023;213.095001;7024.957031
11;1753459290.372665345;1612.156982;5212.388184;213.156998;7037.702148
12;1753459290.396726029;1598.800049;5210.689941;213.139999;7022.629883
13;1753459290.420785663;1612.150024;5202.465820;212.345993;7026.961914
14;1753459290.444845887;1601.349976;5206.529785;212.841995;7020.721680
15;1753459290.468905631;1618.296997;5208.145996;213.156998;7039.600098
16;1753459290.492966775;1590.229004;5210.589844;213.078003;7013.896973
17;1753459290.517026549;1593.958984;5224.204102;216.391006;7034.554199
18;1753459290.541087363;1591.171997;5210.671875;213.156998;7015.000977
19;1753459290.565147807;1607.743042;5211.344238;213.145996;7032.233398
20;1753459290.589207751;1604.860962;5217.654785;211.867004;7034.382812
21;1753459290.613268055;1606.540039;5209.074219;213.117996;7028.732422
22;1753459290.637328719;1601.042969;5208.875977;213.975998;7023.895020
23;1753459290.661388933;1617.727051;5222.605957;213.117996;7053.451172
24;1753459290.685448647;1608.527954;5210.589844;213.179993;7032.297852
25;1753459290.709508651;1603.878052;5204.163086;213.078003;7021.119141
26;1753459290.733568635;1619.993042;5206.789062;215.255997;7042.038086
27;1753459290.757632469;1619.583984;5221.725098;211.891006;7053.200195
28;1753459290.781694064;1608.952026;5206.332031;211.960007;7027.244141
29;1753459290.805753837;1600.891968;5211.439941;213.134995;7025.466797
30;1753459290.829815312;1623.583984;5206.529785;213.197006;7043.310547
31;1753459290.853875336;1604.114014;5212.386230;213.117996;7029.618164
32;1753459290.877936770;1608.076050;5214.166992;216.453003;7038.696289
33;1753459290.901998454;1592.650024;5206.701172;214.013000;7013.364258
34;1753459290.926060078;1609.218994;5208.045898;214.080002;7031.344727
35;1753459290.950120302;1611.099976;5211.625000;213.078003;7035.803223
36;1753459290.974181476;1590.167969;5212.354980;213.945007;7016.467773
37;1753459290.998257522;1591.359009;5208.894043;213.134995;7013.387695
38;1753459291.022319036;1628.021973;5214.833984;216.352005;7059.208008
39;1753459291.046381950;1611.941040;5208.894043;213.175003;7034.009766
40;1753459291.070441584;1595.295044;5213.118164;213.156998;7021.570312
41;1753459291.094503909;1595.306030;5205.956055;213.139999;7014.402344
42;1753459291.118571493;1723.537964;5226.179199;216.500000;7166.217285
43;1753459291.142638678;1801.730957;5209.742188;213.970993;7225.444336
44;1753459291.166704683;1803.819946;5212.386230;213.134995;7229.340820
45;1753459291.190775108;1788.186035;5210.160156;213.104004;7211.450195
46;1753459291.214842893;1806.514038;5210.591797;213.117996;7230.224121
47;1753459291.238921768;1790.944946;5215.684082;216.453995;7223.083008
48;1753459291.262989853;1790.655029;5206.701172;213.134995;7210.491211
49;1753459291.287059908;1784.286011;5212.370117;214.054993;7210.711426
50;1753459291.311121152;1796.994019;5210.770020;213.078003;7220.842285
51;1753459291.335201028;1840.420044;5210.589844;213.117996;7264.127930
52;1753459291.359298366;1833.491943;5213.136230;213.056000;7259.684570
53;1753459291.383365531;1762.873047;5214.930176;214.080002;7191.883301
54;1753459291.407436216;1819.863037;5215.779785;213.117996;7248.760742
55;1753459291.431497700;1605.401978;5209.246094;213.056000;7027.704102
56;1753459291.455558464;1593.175049;5206.701172;213.156998;7013.033203
57;1753459291.479619108;1591.833008;5209.841797;211.876007;7013.550781
58;1753459291.503679972;1607.438965;5207.550781;213.179993;7028.169922
59;1753459291.527740136;1612.093994;5213.235840;213.134995;7038.464844
60;1753459291.551801470;1607.520020;5214.932129;211.960007;7034.412109
61;1753459291.575861625;1593.896973;5204.160156;213.134995;7011.191895
62;1753459291.599922409;1614.603027;5208.894043;213.139999;7036.637207
63;1753459291.623982283;1596.977051;5213.235840;213.992996;7024.206055
64;1753459291.648043477;1597.600952;5211.538086;213.113007;7022.251953
65;1753459291.672103181;1602.262939;5206.701172;213.095993;7022.060547
66;1753459291.696164365;1600.942993;5212.943848;217.690002;7031.576660
67;1753459291.720224199;1609.256958;5210.770020;212.244995;7032.271973
68;1753459291.744285593;1602.557983;5208.924805;213.149002;7024.631836
69;1753459291.768350887;1622.911987;5212.386230;213.156998;7048.455566
70;1753459291.792411542;1607.618042;5213.983887;213.156998;7034.759277
71;1753459291.816472136;1605.613037;5213.235840;213.134995;7031.983398
72;1753459291.840531810;1605.131958;5209.902832;216.373993;7031.408691
73;1753459291.864592374;1599.405029;5215.015137;216.453003;7030.873047
74;1753459291.888652368;1609.905029;5215.762207;216.453003;7042.120117
75;1753459291.912712632;1598.899048;5210.589844;211.944000;7021.432617
76;1753459291.936772676;1601.527954;5214.384766;213.108994;7029.021484
77;1753459291.960832790;1595.189941;5212.386230;214.037994;7021.614258
78;1753459291.984892404;1604.571045;5213.133789;213.134995;7030.839844
79;1753459292.008952108;1591.892944;5213.933105;216.436005;7022.262207
80;1753459292.033012052;1595.498047;5213.235840;213.156998;7021.891113
81;1753459292.057072636;1588.319946;5206.803223;213.095001;7008.218262
82;1753459292.081133270;1619.932007;5217.377930;216.414001;7053.724121
83;1753459292.105193594;1596.548950;5209.074219;213.156998;7018.780273
84;1753459292.129254198;1602.751953;5210.589844;213.078003;7026.419922
85;1753459292.153313842;1604.918945;5210.589844;213.139999;7028.648926
86;1753459292.177374056;1604.833984;5224.401855;211.938004;7041.173828
87;1753459292.201433620;1599.927002;5222.702148;213.175003;7035.803711
88;1753459292.225492974;1602.187988;5215.779785;213.117996;7031.085938
89;1753459292.249552258;1618.119019;5215.779785;213.117996;7047.017090
