Scheduler;Workload;Hw config;NPU ARCH;Ttot;Etot;E_idle
Round Robin;Workload_Small;1x512_1x1024_1x2304_1x4096;512;[[[np.float64(49.84012104507186)]], [[np.float64(85.0325942128939)]]];[[[np.float64(27077.600436106142)]], [[np.float64(75261.14074141985)]]];[[[np.float64(342801.9216166577)]], [[np.float64(814483.9369599808)]]]
Round Robin;Workload_Small;1x512_1x1024_1x2304_1x4096;1024;[[[np.float64(49.84012104507186)]], [[np.float64(85.0325942128939)]]];[[[np.float64(27077.600436106142)]], [[np.float64(75261.14074141985)]]];[[[np.float64(342801.9216166577)]], [[np.float64(814483.9369599808)]]]
Round Robin;Workload_Small;1x512_1x1024_1x2304_1x4096;2304;[[[np.float64(49.84012104507186)]], [[np.float64(85.0325942128939)]]];[[[np.float64(27077.600436106142)]], [[np.float64(75261.14074141985)]]];[[[np.float64(342801.9216166577)]], [[np.float64(814483.9369599808)]]]
Round Robin;Workload_Small;1x512_1x1024_1x2304_1x4096;4096;[[[np.float64(49.84012104507186)]], [[np.float64(85.0325942128939)]]];[[[np.float64(27077.600436106142)]], [[np.float64(75261.14074141985)]]];[[[np.float64(342801.9216166577)]], [[np.float64(814483.9369599808)]]]
Greedy;Workload_Small;1x512_1x1024_1x2304_1x4096;512;[[[np.float64(49.84012104507186)]], [[np.float64(85.0325942128939)]]];[[[np.float64(27077.600436106142)]], [[np.float64(75261.14074141985)]]];[[[np.float64(342801.9216166577)]], [[np.float64(814483.9369599808)]]]
Greedy;Workload_Small;1x512_1x1024_1x2304_1x4096;1024;[[[np.float64(49.84012104507186)]], [[np.float64(85.0325942128939)]]];[[[np.float64(27077.600436106142)]], [[np.float64(75261.14074141985)]]];[[[np.float64(342801.9216166577)]], [[np.float64(814483.9369599808)]]]
Greedy;Workload_Small;1x512_1x1024_1x2304_1x4096;2304;[[[np.float64(49.84012104507186)]], [[np.float64(85.0325942128939)]]];[[[np.float64(27077.600436106142)]], [[np.float64(75261.14074141985)]]];[[[np.float64(342801.9216166577)]], [[np.float64(814483.9369599808)]]]
Greedy;Workload_Small;1x512_1x1024_1x2304_1x4096;4096;[[[np.float64(49.84012104507186)]], [[np.float64(85.0325942128939)]]];[[[np.float64(27077.600436106142)]], [[np.float64(75261.14074141985)]]];[[[np.float64(342801.9216166577)]], [[np.float64(814483.9369599808)]]]
