Scheduler;Workload;DPUarray;Scheduler_runtime(ns);Ttot(s);Etot(mJ);E_idle(mJ)
Batched-Exhaustive;Workload_Small;2x2304_2x4096;136252249;0.6779026985168457;0.0;0.0
Batched-Exhaustive;Workload_DenseNet;2x2304_2x4096;2245453517;36.95420195969418;0.0;0.0
Batched-Exhaustive;Workload_VGG;2x2304_2x4096;2203054777;4.476839819184178;0.0;0.0
Batched-Exhaustive;Workload_MobileNet;2x2304_2x4096;2200735163;2.071461495788357;0.0;0.0
Batched-Exhaustive;Workload_Uniform;2x2304_2x4096;2207625152;18.059906367481105;0.0;0.0
Batched-Exhaustive;Workload_ResNet;2x2304_2x4096;2199632940;23.463495425716093;0.0;0.0
Batched-Exhaustive;Workload_Small;4x1024_1x2304;249254052;0.7335293292999268;0.0;0.0
Batched-Exhaustive;Workload_DenseNet;4x1024_1x2304;5391728256;66.32394275021989;0.0;0.0
Batched-Exhaustive;Workload_VGG;4x1024_1x2304;5397573087;6.66562509755959;0.0;0.0
Batched-Exhaustive;Workload_MobileNet;4x1024_1x2304;5669046885;2.241439317177313;0.0;0.0
Batched-Exhaustive;Workload_Uniform;4x1024_1x2304;5746617365;58.05007708546119;0.0;0.0
Batched-Exhaustive;Workload_ResNet;4x1024_1x2304;5914650097;44.087402119726804;0.0;0.0
Batched-Exhaustive;Workload_Small;3x4096;61664734;0.656512975692749;0.0;0.0
Batched-Exhaustive;Workload_DenseNet;3x4096;785369919;48.51389360037979;0.0;0.0
Batched-Exhaustive;Workload_VGG;3x4096;809647393;6.627056619787357;0.0;0.0
Batched-Exhaustive;Workload_MobileNet;3x4096;807253663;3.9039851207585845;0.0;0.0
Batched-Exhaustive;Workload_Uniform;3x4096;812988578;22.59875247254623;0.0;0.0
Batched-Exhaustive;Workload_ResNet;3x4096;806142463;31.350074549259194;0.0;0.0
Batched-Exhaustive;Workload_Small;1x512_1x1024_1x2304_1x4096;148938742;0.7335293292999268;0.0;0.0
Batched-Exhaustive;Workload_DenseNet;1x512_1x1024_1x2304_1x4096;2479264820;71.99500120935177;0.0;0.0
Batched-Exhaustive;Workload_VGG;1x512_1x1024_1x2304_1x4096;2512300015;6.66562509755959;0.0;0.0
Batched-Exhaustive;Workload_MobileNet;1x512_1x1024_1x2304_1x4096;2521082820;2.2486153733275014;0.0;0.0
Batched-Exhaustive;Workload_Uniform;1x512_1x1024_1x2304_1x4096;2538240747;31.884660955248023;0.0;0.0
Batched-Exhaustive;Workload_ResNet;1x512_1x1024_1x2304_1x4096;2536657591;45.661276455921616;0.0;0.0
Batched-Exhaustive;Workload_Small;4x2304;146923881;0.6779026985168457;0.0;0.0
Batched-Exhaustive;Workload_DenseNet;4x2304;2524083000;36.95420195969418;0.0;0.0
Batched-Exhaustive;Workload_VGG;4x2304;2525699066;4.476839819184178;0.0;0.0
Batched-Exhaustive;Workload_MobileNet;4x2304;2508917604;2.071461495788357;0.0;0.0
Batched-Exhaustive;Workload_Uniform;4x2304;2473578640;32.5798961783605;0.0;0.0
Batched-Exhaustive;Workload_ResNet;4x2304;2551493386;23.463495425716093;0.0;0.0
