Scheduler;Workload;DPUarray;Scheduler_runtime(ns);Ttot(s);Etot(mJ);E_idle(mJ)
Round-Robin;Workload_DenseNet;4x512;1120175;108.92155481528488;0.0;0.0
Round-Robin;Workload_VGG;4x512;1125591;8.39464883652905;0.0;0.0
Round-Robin;Workload_MobileNet;4x512;1133666;2.2486153733275014;0.0;0.0
Round-Robin;Workload_Uniform;4x512;1102341;49.84012104507186;0.0;0.0
Round-Robin;Workload_ResNet;4x512;1155263;79.79566515514601;0.0;0.0
Greedy;Workload_Small;2x2304_2x4096;26148197;0.6779026985168457;0.0;0.0
Greedy;Workload_DenseNet;2x2304_2x4096;216688531;30.846491285957832;0.0;0.0
Greedy;Workload_VGG;2x2304_2x4096;216267115;4.213668067083768;0.0;0.0
Greedy;Workload_MobileNet;2x2304_2x4096;215482160;2.071461495788357;0.0;0.0
Greedy;Workload_Uniform;2x2304_2x4096;216264628;19.89362117070036;0.0;0.0
Greedy;Workload_ResNet;2x2304_2x4096;215224582;19.93325477776704;0.0;0.0
Greedy;Workload_Small;4x1024_1x2304;32174619;0.7335293292999268;0.0;0.0
Greedy;Workload_DenseNet;4x1024_1x2304;268593306;50.49764453194468;0.0;0.0
Greedy;Workload_VGG;4x1024_1x2304;270448196;5.075065697276529;0.0;0.0
Greedy;Workload_MobileNet;4x1024_1x2304;277203383;2.071461495788357;0.0;0.0
Greedy;Workload_Uniform;4x1024_1x2304;268678940;45.069643567956575;0.0;0.0
Greedy;Workload_ResNet;4x1024_1x2304;269907132;33.567213712901406;0.0;0.0
Greedy;Workload_Small;3x4096;19439993;0.656512975692749;0.0;0.0
Greedy;Workload_DenseNet;3x4096;161490637;36.745631253350304;0.0;0.0
Greedy;Workload_VGG;3x4096;160771825;5.019497730931949;0.0;0.0
Greedy;Workload_MobileNet;3x4096;161421426;2.956975559365084;0.0;0.0
Greedy;Workload_Uniform;3x4096;161810976;30.24547924589765;0.0;0.0
Greedy;Workload_ResNet;3x4096;160619162;23.745327238444997;0.0;0.0
Greedy;Workload_Small;1x512_1x1024_1x2304_1x4096;25916811;0.7335293292999268;0.0;0.0
Greedy;Workload_DenseNet;1x512_1x1024_1x2304_1x4096;217682899;48.51389360037979;0.0;0.0
Greedy;Workload_VGG;1x512_1x1024_1x2304_1x4096;216081656;5.539448546506374;0.0;0.0
Greedy;Workload_MobileNet;1x512_1x1024_1x2304_1x4096;217296613;2.2486153733275014;0.0;0.0
Greedy;Workload_Uniform;1x512_1x1024_1x2304_1x4096;216671112;34.049870065633506;0.0;0.0
Greedy;Workload_ResNet;1x512_1x1024_1x2304_1x4096;216501605;31.350074549259194;0.0;0.0
Greedy;Workload_Small;4x2304;25842889;0.6779026985168457;0.0;0.0
Greedy;Workload_DenseNet;4x2304;214169899;36.95420195969418;0.0;0.0
Greedy;Workload_VGG;4x2304;214921259;4.476839819184178;0.0;0.0
Greedy;Workload_MobileNet;4x2304;217296712;2.071461495788357;0.0;0.0
Greedy;Workload_Uniform;4x2304;215286135;31.884660955248023;0.0;0.0
Greedy;Workload_ResNet;4x2304;216213170;23.463495425716093;0.0;0.0
Greedy;Workload_Small;4x512;25737374;0.7358777523040771;0.0;0.0
Greedy;Workload_DenseNet;4x512;214093823;108.92155481528488;0.0;0.0
Greedy;Workload_VGG;4x512;216278982;8.39464883652905;0.0;0.0
Greedy;Workload_MobileNet;4x512;212792428;2.2486153733275014;0.0;0.0
Greedy;Workload_Uniform;4x512;214888980;95.36085558402361;0.0;0.0
Greedy;Workload_ResNet;4x512;216811929;79.79566515514601;0.0;0.0
